epoch,lr,train_loss,train_ssim,train_msssim,train_psnr,val_loss,val_ssim,val_msssim,val_psnr
1,1.00e-04,0.3624,0.4040,0.6002,12.91,0.1774,0.7453,0.8363,21.40
2,1.00e-04,0.2109,0.6893,0.8194,20.43,0.1608,0.7748,0.8560,22.09
3,9.99e-05,0.2060,0.7011,0.8303,20.95,0.1521,0.7846,0.8652,25.02
4,9.98e-05,0.1916,0.7186,0.8456,22.65,0.1481,0.7847,0.8694,25.71
5,9.97e-05,0.1875,0.7265,0.8506,22.54,0.1473,0.7888,0.8723,24.89
6,9.96e-05,0.1827,0.7263,0.8574,22.87,0.1421,0.7910,0.8747,26.06
7,9.95e-05,0.1782,0.7319,0.8588,23.17,0.1396,0.7965,0.8782,26.54
8,9.93e-05,0.1697,0.7509,0.8692,23.52,0.1369,0.7987,0.8824,25.64
9,9.91e-05,0.1651,0.7544,0.8752,24.53,0.1292,0.8068,0.8857,28.25
10,9.89e-05,0.1557,0.7691,0.8826,24.70,0.1276,0.8100,0.8879,27.14
11,9.87e-05,0.1509,0.7736,0.8862,25.00,0.1261,0.8017,0.8880,27.30
12,9.84e-05,0.1523,0.7727,0.8859,25.15,0.1231,0.8205,0.8943,26.10
13,9.82e-05,0.1496,0.7774,0.8854,25.41,0.1231,0.8176,0.8917,28.20
14,9.79e-05,0.1448,0.7771,0.8910,25.73,0.1210,0.8167,0.8934,28.51
15,9.76e-05,0.1480,0.7814,0.8898,25.87,0.1189,0.8245,0.8979,27.90
16,9.72e-05,0.1455,0.7839,0.8919,26.23,0.1233,0.8170,0.8940,27.99
17,9.69e-05,0.1476,0.7799,0.8910,25.71,0.1197,0.8232,0.8938,28.83
18,9.65e-05,0.1396,0.7915,0.8956,26.20,0.1233,0.8185,0.8908,28.49
19,9.61e-05,0.1378,0.7984,0.8998,25.02,0.1183,0.8230,0.8980,29.27
20,9.57e-05,0.1394,0.7919,0.8979,26.78,0.1162,0.8271,0.8982,28.80
21,9.53e-05,0.1423,0.7871,0.8936,26.28,0.1155,0.8264,0.8994,28.91
22,9.48e-05,0.1406,0.7934,0.8971,26.57,0.1203,0.8255,0.8963,29.24
23,9.44e-05,0.1425,0.7916,0.8980,26.52,0.1167,0.8219,0.8969,30.02
24,9.39e-05,0.1424,0.7871,0.8938,25.70,0.1268,0.8184,0.8888,29.37
25,9.34e-05,0.1458,0.7818,0.8925,26.51,0.1151,0.8284,0.8993,29.69
26,9.28e-05,0.1401,0.7925,0.8976,26.81,0.1138,0.8297,0.9006,30.17
27,9.23e-05,0.1361,0.7976,0.9020,27.19,0.1134,0.8310,0.9015,29.92
28,9.17e-05,0.1360,0.7983,0.9012,26.94,0.1161,0.8297,0.9008,29.73
29,9.11e-05,0.1342,0.8009,0.9035,27.16,0.1132,0.8318,0.9026,30.31
